segment,start_s,end_s,duration_s,start_unix,end_unix,status,text,label_palm,label_thumb,label_index_tip,label_index_seg,label_middle_tip,label_middle_seg,label_ring_tip,label_ring_seg,label_pinky_tip,label_pinky_seg
31,851.3099375,851.8799375,0.569999999999936,1774822645.37073,1774822645.94073,MATCHED,"One and two.",0,1,1,0,0,0,0,0,0,0
32,875.6099375,876.8699375,1.25999999999999,1774822669.67073,1774822670.93073,MATCHED,"One, two, and four.",0,1,1,0,1,0,0,0,0,0
33,905.2499375,906.6299375,1.38,1774822699.31073,1774822700.69073,MATCHED,"One, two, four and six.",0,1,1,0,1,0,1,0,0,0
34,925.2899375,925.6499375,0.360000000000014,1774822719.35073,1774822719.71073,MATCHED,"Whole hand.",1,1,1,1,1,1,1,1,1,1
35,961.7999375,962.2799375,0.479999999999905,1774822755.86073,1774822756.34073,MATCHED,"One and two.",0,1,1,0,0,0,0,0,0,0
36,980.8799375,981.6599375,0.779999999999973,1774822774.94073,1774822775.72073,MATCHED,"one two and four",0,1,1,0,1,0,0,0,0,0
37,1017.9599375,1019.1899375,1.23000000000002,1774822812.02073,1774822813.25073,MATCHED,"One two four and six.",0,1,1,0,1,0,1,0,0,0
38,1048.9499375,1050.2399375,1.28999999999996,1774822843.01073,1774822844.30073,MATCHED,"one two four six and eight.",0,1,1,0,1,0,1,0,1,0
39,1096.0799375,1096.6199375,0.540000000000191,1774822890.14073,1774822890.68073,MATCHED,"All of hands.",1,1,1,1,1,1,1,1,1,1
40,1126.8899375,1127.3699375,0.480000000000018,1774822920.95073,1774822921.43073,MATCHED,"Whole of hand.",1,1,1,1,1,1,1,1,1,1
41,1150.5899375,1151.8499375,1.25999999999999,1774822944.65073,1774822945.91073,MATCHED,"One, two, four and six.",0,1,1,0,1,0,1,0,0,0
42,1204.5299375,1205.0399375,0.509999999999991,1774822998.59073,1774822999.10073,MATCHED,"All of hand.",1,1,1,1,1,1,1,1,1,1
43,1295.9399375,1296.3899375,0.450000000000045,1774823090.00073,1774823090.45073,MATCHED,"Whole of hand.",1,1,1,1,1,1,1,1,1,1
44,1345.2899375,1345.8299375,0.539999999999964,1774823139.35073,1774823139.89073,MATCHED,"Whole of hand.",1,1,1,1,1,1,1,1,1,1
45,1370.2199375,1371.0899375,0.869999999999891,1774823164.28073,1774823165.15073,MATCHED,"All fingertips.",0,1,1,0,1,0,1,0,1,0
46,1397.5199375,1398.5999375,1.07999999999993,1774823191.58073,1774823192.66073,MATCHED,"One, two, three, four, five.",0,1,1,1,1,1,0,0,0,0
47,1429.7999375,1430.4299375,0.630000000000109,1774823223.86073,1774823224.49073,MATCHED,"One four five.",0,1,0,0,1,1,0,0,0,0
48,1453.1399375,1454.3099375,1.16999999999985,1774823247.20073,1774823248.37073,MATCHED,"one six seven eight nine.",0,1,0,0,0,0,1,1,1,1
49,1482.9299375,1483.5599375,0.629999999999882,1774823276.99073,1774823277.62073,MATCHED,"One two four.",0,1,1,0,1,0,0,0,0,0
50,1536.1499375,1536.5699375,0.419999999999845,1774823330.21073,1774823330.63073,MATCHED,"Whole hand.",1,1,1,1,1,1,1,1,1,1
51,1571.9999375,1572.3899375,0.3900000000001,1774823366.06073,1774823366.45073,MATCHED,"Whole hand.",1,1,1,1,1,1,1,1,1,1
52,1627.9799375,1628.3999375,0.420000000000073,1774823422.04073,1774823422.46073,MATCHED,"One, two.",0,1,1,0,0,0,0,0,0,0
53,1658.5499375,1659.1799375,0.630000000000109,1774823452.61073,1774823453.24073,MATCHED,"One, two, four.",0,1,1,0,1,0,0,0,0,0
54,1680.8099375,1681.9199375,1.11000000000013,1774823474.87073,1774823475.98073,MATCHED,"One, two, four, six.",0,1,1,0,1,0,1,0,0,0
55,1725.8699375,1726.5299375,0.659999999999854,1774823519.93073,1774823520.59073,MATCHED,"All fingertips.",0,1,1,0,1,0,1,0,1,0
56,1774.9199375,1775.9999375,1.07999999999993,1774823568.98073,1774823570.06073,MATCHED,"one two three four five.",0,1,1,1,1,1,0,0,0,0
57,1821.0899375,1822.6199375,1.5300000000002,1774823615.15073,1774823616.68073,MATCHED,"One, two, three, four, five, six, seven.",0,1,1,1,1,1,1,1,0,0
58,1845.8999375,1846.7399375,0.839999999999918,1774823639.96073,1774823640.80073,MATCHED,"All fingertips.",0,1,1,0,1,0,1,0,1,0
59,1900.1999375,1900.6199375,0.420000000000073,1774823694.26073,1774823694.68073,MATCHED,"One, two.",0,1,1,0,0,0,0,0,0,0
60,1910.4899375,1910.9099375,0.420000000000073,1774823704.55073,1774823704.97073,MATCHED,"One four.",0,1,0,0,1,0,0,0,0,0
61,1923.8099375,1924.1699375,0.360000000000127,1774823717.87073,1774823718.23073,MATCHED,"Whole hand",1,1,1,1,1,1,1,1,1,1
62,1952.3999375,1953.0599375,0.659999999999854,1774823746.46073,1774823747.12073,MATCHED,"One two four.",0,1,1,0,1,0,0,0,0,0
63,1994.9999375,1995.8099375,0.809999999999945,1774823789.06073,1774823789.87073,MATCHED,"All fingertips.",0,1,1,0,1,0,1,0,1,0
64,2042.2799375,2042.8199375,0.539999999999964,1774823836.34073,1774823836.88073,MATCHED,"All of hand.",1,1,1,1,1,1,1,1,1,1
